news_id,headline,content,source,author,date_published,category,ticker_symbols,market_sector,country,raw_sentiment_score,sentiment_label,impact_score,related_entities,stock_price_change,crypto_price_change
31,"Kenya's Safaricom reports higher annual profit, dividend",Kenya's biggest telecoms operator Safaricom reported a rise in annual earnings and dividend as its financial services platform M-Pesa continued to drive growth.,Reuters Kenya,Reuters Staff,2025-03-15 00:00:00,Finance,,Telecom,Kenya,0.0,Neutral,3,"Kenya,NSE,Stocks",-1.22,0.0
21,Sh1.3b tea stuck at port after Sudan bans Kenya imports,Kenyan tea traders are counting huge losses following the ban on imports by Sudanese authorities.,standardmedia,Standard Business,2025-03-14 21:00:00,business,,General,Kenya,0.2,Positive,5,None,0.0,0.0
22,Sudan bans importation of Kenyan products for hosting RSF,"Sudan suspends importation of all products from Kenya effective immediately, in protest of Nairobi's decision to host RSF, Trade Minister Omar Mohamed says.",standardmedia,Standard Business,2025-03-14 17:50:53,business,RSF,Tech,Kenya,0.6,Positive,1,None,-2.79,0.0
23,Musk’s Tesla raises concern over Trump tariffs,MAR 14 – Elon Musk’s electric carmaker Tesla has warned it and other US exporters could be harmed by countries retaliating to Donald Trump’s trade tariffs. Mr Musk is a close ally of the US president and is leading efforts to reduce the size of the federal government. But in an unsigned letter addressed to [...],capitalfm,CONTRIBUTOR,2025-03-14 16:06:06,business,MAR,Tech,Kenya,-0.12,Negative,2,"world,tariffs,raises,musk's,concern,trump,lifestyle,tesla",0.2,0.0
24,"Gold price hits $3,000 mark for first time","MAR 14 – The price of gold has hit the $3,000 per ounce mark for the first time as demand for the precious metal surges amid economic uncertainty over the impact of a global trade war. Spot gold touched a record $3,004.86 per ounce on Friday, with prices having risen by 14% since the start [...]",capitalfm,CONTRIBUTOR,2025-03-14 16:02:33,business,MAR,Tech,Kenya,0.24,Positive,1,"world,hits,gold,mark,first time,price,lifestyle,top story",1.85,0.0
25,EPRA maintains fuel prices unchanged,"NAIROBI, Kenya, Mar 14 – Fuel prices will remain the same for the next one month after the Energy and Petroleum Regulatory Authority (EPRA) today maintained the prices stationary. In a statement, EPRA stated that petrol, diesel, and kerosene will retail at Sh176.58, Sh167.06, and Sh151.39, respectively, in Nairobi until April 14. “In the period [...]",capitalfm,CORRESPONDENT,2025-03-14 15:58:45,business,EPRA,Tech,Kenya,0.0,Neutral,1,"technology,investments in africa,health,aviation,kenya,entertainment,fuel,trade,features,poverty,partnerships,prices,motors,corruption,climate,maintains,wildlife,banks,china communications construction company,transport,featured,africa,startups,insurance,unchanged,companies,epra",-1.73,0.0
26,Vivo Energy partners with RentWorks East Africa for fleet expansion,"The 48-month agreement also involves Caetano Kenya, which will manage vehicle maintenance; Stanbic Bank, the financing partner; and Heritage Insurance, which will provide coverage for the fleet.",standardmedia,Standard Business,2025-03-14 15:51:00,business,,Tech,Kenya,0.0,Neutral,3,None,0.0,0.0
27,KRA establishes trade facilitation centres in Turkana,Kenya Revenue Authority (KRA) has set up three trade facilitation centres in the northern region to boost trade between the neighbouring countries.,standardmedia,Standard Business,2025-03-14 15:02:11,business,KRA,Automotive,Kenya,0.0,Neutral,2,None,4.86,0.0
28,"Fuel prices remain unchanged, three months in a row","Fuel prices remain unchanged in latest EPRA review; Petrol to retail at Sh176.58, Diesel at Sh167.06 and Kerosene at Sh151.39 per litre in Nairobi.",standardmedia,Standard Business,2025-03-14 14:22:46,business,EPRA,Tech,Kenya,0.5,Positive,5,None,-3.37,0.0
29,Hospital to lose equipments as auctioneer moves to recover unpaid rents,"NAIROBI, Kenya, Mar 14 – A Nairobi-based hospital is scheduled to have its medical equipment and vehicles auctioned due to unpaid rent, as detailed in a notice from Jogoo Road Motors Auction Yard. The auction is slated for Wednesday, March 19, 2025, at 10:30 AM, at the Jogoo Road Motors Auction Yard, located opposite Church [...]",capitalfm,LINET WAITE,2025-03-14 13:30:37,business,,Tech,Kenya,0.1,Neutral,1,"auctioneer moves,health,recover,top story,lose,unpaid,featured,hospital,equipments,rents",0.0,0.0
30,Top Democrat Schumer backs Republican spending bill to avert shutdown,"MAR 14 – The US may avert a looming government shutdown after a top Democrat said he would support a Republican funding bill to keep it open. Senate Minority Leader Chuck Schumer announced his reversal on Thursday, after vowing he and other Democrats would block the bill, which would fund the government through September. It [...]",capitalfm,CONTRIBUTOR,2025-03-14 13:29:08,business,MAR,Tech,Kenya,0.12,Positive,1,"spending bill,republican,avert shutdown,top democrat schumer,backs,lifestyle,world",-3.84,0.0
1,S&P 500 futures bounce after benchmark closes in correction territory: Live updates - CNBC,The three major averages are all heading for another losing week.,CNBC,Alex Harring,2025-03-14 07:58:00,Finance,CNBC,General,USA,0.06,Neutral,5,CNBC,-1.35,0.0
2,"BMW posts 37% drop in annual net profit, warns of 'subdued' Chinese demand - CNBC",BMW's net profits slumped by more than a third in 2024 as weaker demand in China and Germany weighed on the high-end car manufacturer.,CNBC,"Karen Gilchrist, Chloe Taylor",2025-03-14 06:52:15,Finance,"CNBC,BMW",Automotive,China,0.17,Positive,5,"CNBC,BMW",0.72,0.0
3,Chinese Stocks Surge as Beijing Plans Briefing on Consumption - Bloomberg,"China’s benchmark stock index rallied the most in two months on Friday, with consumer shares leading gains on expectations of more policy support for the sector.",Bloomberg,,2025-03-14 05:42:00,Finance,,Tech,China,0.5,Positive,5,,0.0,0.0
4,American Airlines plane catches fire at DIA. 12 people sent to area hospitals with minor injuries - Colorado Public Radio,The Boeing 737 was flying from Colorado Springs to Dallas Fort Worth when it was diverted to Denver International Airport.,Colorado Public Radio,"Alejandro A. Alonso Galva, Nathan Fernando-Frescas",2025-03-14 04:10:15,Finance,,Tech,USA,0.15,Positive,2,,0.0,0.0
5,"Average US rate on a 30-year mortgage edges higher, ending a seven-week slide - ABC News","The average rate on a 30-year mortgage in the U.S. edged higher this week, ending a seven-week slide that helped ease borrowing costs for home shoppers just in time for the spring homebuying season",ABC News,ALEX VEIGA AP business writer,2025-03-14 04:00:54,Finance,ABC,Retail,USA,0.05,Neutral,1,ABC,-4.88,0.0
6,All Eyes on Nvidia Stock Ahead of GTC — Here’s What Citi Expects - TipRanks,"Nvidia (NASDAQ:NVDA) has had an underwhelming start to 2025, as the AI chip giant grapples with a mix of unfavorable macro developments and company-specific challen...",Tipranks.com,Marty Shtrubel,2025-03-14 01:08:23,Finance,GTC,Tech,USA,0.0,Neutral,4,GTC,0.27,0.0
7,Tesla stock declines could cost Elon Musk something important - TheStreet,He could be on the verge of losing control of something he prizes.,TheStreet,Samuel O'Brient,2025-03-14 01:03:00,Finance,,Finance,Kenya,0.0,Neutral,4,,0.0,0.0
8,"Privatizing Fannie and Freddie not a top priority, says Trump’s new FHFA director - CNN","Bill Pulte, who was confirmed by the US Senate on Thursday to lead the Federal Housing Finance Agency for the Trump administration, said he’s in no rush to privatize Fannie Mae and Freddie Mac, the mortgage behemoths that power more than half of America’s mor…",CNN,Samantha Delouya,2025-03-14 00:59:00,Finance,"CNN,FHFA",Tech,USA,0.24,Positive,2,"CNN,FHFA",1.91,0.0
9,Lakers News: Southwest Airlines Trolls Mavericks Over Luka Doncic Trade - LakersNation.com,"Even though it happened over a month ago, many people are still confused why the Dallas Mavericks traded Luka Doncic to the Los Angeles Lakers. The Mavericks have done everything they can to trash Doncic on the way out the door with various reports coming out…",LakersNation.com,Daniel Starkand,2025-03-13 23:30:57,Finance,,Tech,USA,0.03,Neutral,1,,0.0,0.0
10,Ex-Facebook director's new book paints brutal image of Mark Zuckerberg - SFGATE,"Mark Zuckerberg is blasted in a new book, ""Careless People,"" from ex-Facebook director Sarah Wynn-Williams. The company is pushing to slow its spread.",SFGate,Stephen Council,2025-03-13 23:17:10,Finance,FGATE,Tech,Kenya,-0.32,Negative,1,FGATE,4.58,0.0
11,More shots fired at Oregon Tesla dealership in ongoing vandalism since Musk began advising Trump - The Associated Press,"Police in Oregon say gunshots were fired at a Tesla dealership for the second time in a week. The Tigard Police Department says that around 4:15 a.m. Thursday, over a dozen shots fired around the suburban Portland business caused extensive damage to cars and …",Associated Press,,2025-03-13 23:13:00,Finance,,Automotive,Kenya,0.0,Neutral,2,,0.0,0.0
12,Elon Musk may have been wrong about recent X cyberattacks - TheStreet,Experts have different opinions regarding what caused the X outage.,TheStreet,Samuel O'Brient,2025-03-13 23:03:00,Finance,,Tech,Kenya,0.0,Neutral,5,,0.0,0.0
13,Tesla Doesn’t Like Trump’s Tariffs Either - Barron's,,Barron's,Barron's,2025-03-13 22:17:00,Finance,,General,Kenya,0.0,Neutral,4,,0.0,0.0
14,"Pentagon tasked with providing ‘military options’ to ensure US access to Panama Canal, memo says - CNN","military options” to ensure unfettered American access to the Panama Canal, one of several new directives outlined in what amounts to a major overhaul of US strategic priorities, according to a new memo that was sent to senior leaders and reviewed by CNN.",CNN,"Zachary Cohen, Oren Liebermann",2025-03-13 21:54:00,Finance,CNN,Automotive,USA,0.04,Neutral,3,CNN,0.33,0.0
15,"Walmart, Dollar General raise red flags on affordability of basic essentials - Axios",Financially distressed individuals are at the greatest risk when the economy begins wobbling.,Axios,Nathan Bomey,2025-03-13 21:34:40,Finance,,Tech,Kenya,0.5,Positive,4,,0.0,0.0
16,Crypto lurches toward its biggest Washington victory ever - POLITICO,Lawmakers are quickly moving to advance legislation that could boost the digital assets industry.,Politico,Jasper Goodman,2025-03-13 21:34:33,Finance,ITICO,Tech,USA,0.17,Positive,5,ITICO,4.98,0.0
17,Trump’s Tariffs Are Driving Down the Stock Market. He’s Gambling With MAGA’s Future. - Barron's,,Barron's,Barron's,2025-03-13 21:32:00,Finance,,Finance,Kenya,0.0,Neutral,5,,0.0,0.0
18,Trump Admin Wants to Acquire as Much Bitcoin as Possible: White House - Decrypt,A White House official told a room of crypto industry leaders this week that there should be no limit to the size of a U.S. government Strategic Bitcoin Reserve.,Decrypt,Sander Lutz,2025-03-13 21:26:41,Finance,,Finance,Kenya,0.0,Neutral,3,,0.0,0.0
19,"Intel Stock Rises On New CEO, But Rough Road Ahead - Investor's Business Daily",Wall Street responded positively to the appointment of Lip-Bu Tan as Intel's new CEO. But Intel stock faces a rocky road ahead.,Investor's Business Daily,"PATRICK SEITZ, Investor's Business Daily",2025-03-13 21:14:00,Finance,,Tech,USA,0.18,Positive,4,,0.0,0.0
20,"Gold tops $3,000. Here’s what investors joining the gold rush need to know. - MarketWatch",The precious metal’s long-term strength remains ‘undeniable’,MarketWatch,Myra P. Saefong,2025-03-13 21:09:00,Finance,,Tech,USA,0.5,Positive,1,,0.0,0.0
32,Kenya shilling strengthens against dollar on improved foreign inflows,"The Kenyan shilling strengthened against the dollar, supported by increased foreign currency inflows from agricultural exports and reduced dollar demand from importers.",Reuters Africa,Reuters Staff,2025-03-13 00:00:00,Finance,,Tech,Kenya,-0.12,Negative,1,"Kenya,NSE,Stocks",-1.22,0.0
33,Kenya's Nairobi Securities Exchange plans to launch derivatives market,Kenya's Nairobi Securities Exchange (NSE) announced plans to launch a derivatives market to diversify investment options and boost market liquidity.,Reuters Business,Reuters Staff,2025-03-11 00:00:00,Finance,,Tech,Kenya,0.0,Neutral,5,"Kenya,NSE,Stocks",-1.66,0.0
